POL o Puerto de origen;NAVIERA FCL;POD o Puerto de destino;DIAS LIBRES;VIGENCIA DESDE ;VIGENCIA HASTA;AGENTE;CONTRATO;TIEMPO DE TRANSITO;MONEDA;20 GP;40 GP;40 HC;40 NOR
YANGZHOU;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;40-45;DOLAR;1,462.00;1,745.00;1,745.00;
YANGZHOU;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;40-45;DOLAR;1,562.00;1,945.00;1,945.00;
YANGZHOU;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;15;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;HKGN03275A;50-50;DOLAR;1,515.00;1,865.00;1,865.00;
YANGZHOU;Wan Hai Lines Ltd.;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;WSA-001N;33-33;DOLAR;1,418.00;1,618.00;1,618.00;
YANGZHOU;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,665.00;2,090.00;2,090.00;
YANGZHOU;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,665.00;2,090.00;2,090.00;
YANGZHOU;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;RS LOGISTICS LIMITED                                                                                ;RSLOG;37-37;DOLAR;1,515.00;1,890.00;1,890.00;
YANTAI;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;50-55;DOLAR;1,490.00;1,842.00;1,842.00;
YANTAI;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;50-55;DOLAR;1,590.00;2,042.00;2,042.00;
YANTAI;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,715.00;2,165.00;2,165.00;
YANTAI;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,715.00;2,165.00;2,165.00;
YANTIAN;COSCO SHIPPING LINES CO. LTD.;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;LAT25027;38-42;DOLAR;1,400.00;1,600.00;1,600.00;
YANTIAN;COSCO SHIPPING LINES CO. LTD.;POSORJA;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;LAT25027;50-52;DOLAR;1,400.00;1,600.00;1,600.00;
YANTIAN;EVERGREEN LINE;GUAYAQUIL;14;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;G260086;30-33;DOLAR;;;;1,350.00
YANTIAN;EVERGREEN LINE;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;G260086;30-33;DOLAR;1,350.00;1,500.00;1,500.00;
YANTIAN;EVERGREEN LINE;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;G260086;30-33;DOLAR;1,350.00;1,500.00;1,500.00;
YANTIAN;Maersk A/S trading as Sealand Americas.;POSORJA;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;298430991;35-42;DOLAR;1,700.00;2,050.00;2,050.00;
